year_num,quarter_num,region_name,country_name
2023,1,Eastern Europe,Turkey
2023,2,Eastern Europe,Turkey
2023,3,Eastern Europe,Turkey
2023,4,Eastern Europe,Turkey
2024,1,Eastern Europe,Turkey
2024,2,Eastern Europe,Turkey
2024,3,Eastern Europe,Turkey
2024,4,Eastern Europe,Turkey
2023,1,Eastern Europe,Russia
2023,2,Eastern Europe,Russia
2023,3,Eastern Europe,Russia
2023,4,Eastern Europe,Russia
2024,1,Eastern Europe,Russia
2024,2,Eastern Europe,Russia
2024,3,Eastern Europe,Russia
2024,4,Eastern Europe,Russia
2023,1,Central Europe,Germany
2023,2,Central Europe,Germany
2023,3,Central Europe,Germany
2023,4,Central Europe,Germany
2024,1,Central Europe,Germany
2024,2,Central Europe,Germany
2024,3,Central Europe,Germany
2024,4,Central Europe,Germany
2023,1,Western Europe,United Kingdom
2023,2,Western Europe,United Kingdom
2023,3,Western Europe,United Kingdom
2023,4,Western Europe,United Kingdom
2024,1,Western Europe,United Kingdom
2024,2,Western Europe,United Kingdom
2024,3,Western Europe,United Kingdom
2024,4,Western Europe,United Kingdom
2023,1,Western Europe,France
2023,2,Western Europe,France
2023,3,Western Europe,France
2023,4,Western Europe,France
2024,1,Western Europe,France
2024,2,Western Europe,France
2024,3,Western Europe,France
2024,4,Western Europe,France
2023,1,Central Europe,Austria
2023,2,Central Europe,Austria
2023,3,Central Europe,Austria
2023,4,Central Europe,Austria
2024,1,Central Europe,Austria
2024,2,Central Europe,Austria
2024,3,Central Europe,Austria
2024,4,Central Europe,Austria
2023,1,Western Europe,Italy
2023,2,Western Europe,Italy
2023,3,Western Europe,Italy
2023,4,Western Europe,Italy
2024,1,Western Europe,Italy
2024,2,Western Europe,Italy
2024,3,Western Europe,Italy
2024,4,Western Europe,Italy
2023,1,Western Europe,Sweden
2023,2,Western Europe,Sweden
2023,3,Western Europe,Sweden
2023,4,Western Europe,Sweden
2024,1,Western Europe,Sweden
2024,2,Western Europe,Sweden
2024,3,Western Europe,Sweden
2024,4,Western Europe,Sweden
2023,1,Central Europe,Czech Republic
2023,2,Central Europe,Czech Republic
2023,3,Central Europe,Czech Republic
2023,4,Central Europe,Czech Republic
2024,1,Central Europe,Czech Republic
2024,2,Central Europe,Czech Republic
2024,3,Central Europe,Czech Republic
2024,4,Central Europe,Czech Republic
2023,1,Eastern Europe,Greece
2023,2,Eastern Europe,Greece
2023,3,Eastern Europe,Greece
2023,4,Eastern Europe,Greece
2024,1,Eastern Europe,Greece
2024,2,Eastern Europe,Greece
2024,3,Eastern Europe,Greece
2024,4,Eastern Europe,Greece
