year_num,region_name,country_name,Avg Data Quality
2023,Central Europe,Austria,2.997085641785319
2024,Central Europe,Austria,2.987287890121161
2023,Central Europe,Croatia,3.042829682087076
2024,Central Europe,Croatia,3.0156915324857865
2023,Central Europe,Czech Republic,2.995515996615092
2024,Central Europe,Czech Republic,2.990577114224434
2023,Central Europe,Germany,3.0008475257747476
2024,Central Europe,Germany,3.0108574101294594
2023,Central Europe,Hungary,3.0049301008383433
2024,Central Europe,Hungary,2.9990285403198667
2023,Central Europe,Poland,3.003891287578477
2024,Central Europe,Poland,3.006786033180025
2023,Eastern Europe,Belarus,3.0486171863697193
2024,Eastern Europe,Belarus,3.0413258219206774
2023,Eastern Europe,Greece,2.9988198115907867
2024,Eastern Europe,Greece,2.9956242531195456
2023,Eastern Europe,Russia,2.998203138595293
2024,Eastern Europe,Russia,2.9952830752925657
2023,Eastern Europe,Serbia,2.999559974964754
2024,Eastern Europe,Serbia,3.005463363211832
2023,Eastern Europe,Turkey,3.008648957909837
2024,Eastern Europe,Turkey,2.997604619985246
2023,Unknown,Unknown,
2024,Unknown,Unknown,
2023,Western Europe,Belgium,3.015514578574743
2024,Western Europe,Belgium,2.9971552854165053
2023,Western Europe,Denmark,3.0217912251921906
2024,Western Europe,Denmark,3.000395913233702
2023,Western Europe,Finland,2.983818780808222
2024,Western Europe,Finland,3.0109282905856767
2023,Western Europe,France,2.9771062445270924
2024,Western Europe,France,3.0066534491010413
2023,Western Europe,Italy,3.0065684907853942
2024,Western Europe,Italy,3.007121510088107
2023,Western Europe,Netherlands,3.0013755488963354
2024,Western Europe,Netherlands,2.9992694126235113
2023,Western Europe,Spain,3.01792198348613
2024,Western Europe,Spain,2.994293143351873
2023,Western Europe,Sweden,3.019048360132036
2024,Western Europe,Sweden,3.0119288648877824
2023,Western Europe,United Kingdom,3.0021892297739363
2024,Western Europe,United Kingdom,3.002515734925782
