year_num,quarter_num,region_name,country_name
2023,1,Eastern Europe,Russia
2023,2,Eastern Europe,Russia
2023,3,Eastern Europe,Russia
2023,4,Eastern Europe,Russia
2024,1,Eastern Europe,Russia
2024,2,Eastern Europe,Russia
2024,3,Eastern Europe,Russia
2024,4,Eastern Europe,Russia
2023,1,Eastern Europe,Turkey
2023,2,Eastern Europe,Turkey
2023,3,Eastern Europe,Turkey
2023,4,Eastern Europe,Turkey
2024,1,Eastern Europe,Turkey
2024,2,Eastern Europe,Turkey
2024,3,Eastern Europe,Turkey
2024,4,Eastern Europe,Turkey
2023,1,Central Europe,Austria
2023,2,Central Europe,Austria
2023,3,Central Europe,Austria
2023,4,Central Europe,Austria
2024,1,Central Europe,Austria
2024,2,Central Europe,Austria
2024,3,Central Europe,Austria
2024,4,Central Europe,Austria
2023,1,Central Europe,Germany
2023,2,Central Europe,Germany
2023,3,Central Europe,Germany
2023,4,Central Europe,Germany
2024,1,Central Europe,Germany
2024,2,Central Europe,Germany
2024,3,Central Europe,Germany
2024,4,Central Europe,Germany
