region_name,country_name,city_name,P95 Recorded Value
Central Europe,Czech Republic,Prague,160.07879066467285
Central Europe,Germany,Hamburg,153.40166854858398
Eastern Europe,Greece,Athens,148.24405097961426
Western Europe,United Kingdom,London,137.79187774658203
Western Europe,United Kingdom,Edinburgh,134.18342971801758
Eastern Europe,Turkey,Istanbul,131.54589716593424
Western Europe,Denmark,Copenhagen,130.6110134124756
Eastern Europe,Russia,Kazan,125.73672294616699
Central Europe,Germany,Stuttgart,124.08268864949544
Western Europe,Spain,Barcelona,122.0788968404134
