file,csv,rows,cols,seconds,error
a2_q03_A.mdx,a2_q03_A.csv,35,4,0.102,
a2_q07_A.mdx,a2_q07_A.csv,19,4,0.085,
a2_q09_B.mdx,a2_q09_B.csv,80,4,0.114,
a2_q14_A.mdx,a2_q14_A.csv,10,7,0.116,
a2_q15_B.mdx,a2_q15_B.csv,12,4,0.091,
a2_q17_A.mdx,a2_q17_A.csv,42,4,0.117,
a2_q18_B.mdx,a2_q18_B.csv,32,5,0.096,
a2_q19_B.mdx,a2_q19_B.csv,5,4,0.082,
a2_q20_B.mdx,a2_q20_B.csv,36,6,0.1,
a2_q27_A.mdx,a2_q27_A.csv,32,4,0.11,
a2_q31.mdx,a2_q31.csv,10,4,0.118,
a2_q32.mdx,a2_q32.csv,10,4,0.095,
a2_q33.mdx,a2_q33.csv,20,6,0.134,
